"platform","city","source_area","requested_layout","requested_rent_band","rent","title","layout","area_m2","floor","community","district_business","address","tags","source_url","source_filter_url","raw_evidence"
"anjuke","上海","唐镇","一室","2500-3000","1750","唐四村丁费南宅自建房 1室1厅1卫","1室1厅","30","共2层","","","","","https://sh.zu.anjuke.com/fangyuan/3112971566785540","https://sh.zu.anjuke.com/fangyuan/pudong-q-tangzhen/x1-fx1-zj105-mt1/","唐四村丁费南宅自建房 1室1厅1卫 安选 1室1厅|30平米|共2层 唐四村丁费南宅自建房   浦东-唐镇 高科东路 整租 朝东 2号线 1750 元/月"
"anjuke","上海","唐镇","一室","2500-3000","1800","2号线整租精装近小白路 金桥加工出口区 电梯房好停车押一付一","1室1厅","30","高层(共6层)","","","","","https://sh.zu.anjuke.com/fangyuan/4613775878398984","https://sh.zu.anjuke.com/fangyuan/pudong-q-tangzhen/x1-fx1-zj105-mt1/","2号线整租精装近小白路 金桥加工出口区 电梯房好停车押一付一 安选 1室1厅|30平米|高层(共6层) 川沙路3931号小区   浦东-唐镇 川沙路3931号 整租 南北 有电梯 2号线  陈振 1800 元/月"
"anjuke","上海","康桥","二室","3000-4000","1980","11号线康新公路东方体育中心通勤拎包入住 押一付一 民用水电","1室1厅","35","中层(共7层)","","","","","https://sh.zu.anjuke.com/fangyuan/4642239231452173","https://sh.zu.anjuke.com/fangyuan/pudong-q-kangqiao/x1-fx2-zj106-mt1/"," 11号线康新公路东方体育中心通勤拎包入住 押一付一 民用水电 安选 1室1厅|35平米|中层(共7层) 康威路1500号楼   浦东-康桥 康威路1500号 整租 朝南 有电梯 11号线  孙浩淞 1980 元/月"
"anjuke","上海","康桥","二室","3000-4000","2300","张江 健康医学院 吉祥航空租房福音","1室1厅","32","中层(共6层)","","","","","https://sh.zu.anjuke.com/fangyuan/4644069207515149","https://sh.zu.anjuke.com/fangyuan/pudong-q-kangqiao/x1-fx2-zj106-mt1/"," 张江 健康医学院 吉祥航空租房福音 安选 1室1厅|32平米|中层(共6层) 川周公路2788弄小区   浦东-康桥 川周公路2788弄 整租 朝南 有电梯 机场联络线  高波 2300 元/月"
"anjuke","上海","唐镇","一室","3000-4000","2300","长租短租 实习生友好 包含水电 押一付一","1室1厅","35","低层(共20层)","","","","","https://sh.zu.anjuke.com/fangyuan/4643325806419970","https://sh.zu.anjuke.com/fangyuan/pudong-q-tangzhen/x1-fx1-zj106-mt1/"," 长租短租 实习生友好 包含水电 押一付一 安选 1室1厅|35平米|低层(共20层) 上海张江银行卡产业园区   浦东-唐镇 卡园二路108号 整租 朝南 有电梯  李胜雪 2300 元/月"
"anjuke","上海","唐镇","一室","2500-3000","2300","2号线张江品质公寓 奶油风一居 独立厨卫 地铁口租房 拎包住","1室1厅","30","中层(共10层)","","","","","https://sh.zu.anjuke.com/fangyuan/4643586490670082","https://sh.zu.anjuke.com/fangyuan/pudong-q-tangzhen/x1-fx1-zj105-mt1/"," 2号线张江品质公寓 奶油风一居 独立厨卫 地铁口租房 拎包住 安选 1室1厅|30平米|中层(共10层) 上海张江银行卡产业园区   浦东-唐镇 卡园二路108号 整租 朝南 有电梯  周亚玲 2300 元/月"
"anjuke","上海","康桥","二室","3000-4000","2400","推窗见绿 帮张江转租ins风阳台小居","1室1厅","35","高层(共6层)","","","","","https://sh.zu.anjuke.com/fangyuan/4641978409165829","https://sh.zu.anjuke.com/fangyuan/pudong-q-kangqiao/x1-fx2-zj106-mt1/"," 推窗见绿 帮张江转租ins风阳台小居 安选 1室1厅|35平米|高层(共6层) 川周公路2788弄小区   浦东-康桥 川周公路2788弄 整租 朝南 有电梯 机场联络线  梅怀敏 2400 元/月"
"anjuke","上海","北蔡","一室","2500-3000","2500","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急","1室1厅","38","中层(共9层)","陈春路72号商业","浦东-北蔡","陈春路72号","","https://sh.zu.anjuke.com/fangyuan/4625266489170953","https://sh.zu.anjuke.com/fangyuan/pudong-q-beicai/x1-fx1-zj105-mt1/","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急 安选 1室1厅|38平米|中层(共9层) 陈春路72号商业   浦东-北蔡 -陈春路72号 整租 朝南 有电梯 13/18号线  曹猛 2500 元/月"
"anjuke","上海","北蔡","一室","2500-3000","2500","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急","1室1厅","38","中层(共9层)","陈春路72号商业","浦东-北蔡","陈春路72号","","https://sh.zu.anjuke.com/fangyuan/4615573712034818","https://sh.zu.anjuke.com/fangyuan/pudong-q-beicai/x1-fx1-zj105-mt1/","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急 安选 1室1厅|38平米|中层(共9层) 陈春路72号商业   浦东-北蔡 -陈春路72号 整租 朝南 有电梯 13/18号线  吴佳乐 2500 元/月"
"anjuke","上海","北蔡","一室","2500-3000","2500","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急","1室1厅","38","中层(共9层)","陈春路72号商业","浦东-北蔡","陈春路72号","","https://sh.zu.anjuke.com/fangyuan/4637738219232266","https://sh.zu.anjuke.com/fangyuan/pudong-q-beicai/x1-fx1-zj105-mt1/","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急 安选 1室1厅|38平米|中层(共9层) 陈春路72号商业   浦东-北蔡 -陈春路72号 整租 朝南 有电梯 13/18号线  王照嵩 2500 元/月"
"anjuke","上海","北蔡","一室","2500-3000","2500","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急","1室1厅","38","中层(共9层)","陈春路72号商业","浦东-北蔡","陈春路72号","","https://sh.zu.anjuke.com/fangyuan/4637671217880068","https://sh.zu.anjuke.com/fangyuan/pudong-q-beicai/x1-fx1-zj105-mt1/","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急 安选 1室1厅|38平米|中层(共9层) 陈春路72号商业   浦东-北蔡 -陈春路72号 整租 朝南 有电梯 13/18号线  申行程 2500 元/月"
"anjuke","上海","北蔡","一室","2500-3000","2500","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急","1室1厅","38","中层(共9层)","陈春路72号商业","浦东-北蔡","陈春路72号","","https://sh.zu.anjuke.com/fangyuan/4640683095106565","https://sh.zu.anjuke.com/fangyuan/pudong-q-beicai/x1-fx1-zj105-mt1/","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急 安选 1室1厅|38平米|中层(共9层) 陈春路72号商业   浦东-北蔡 -陈春路72号 整租 朝南 有电梯 13/18号线  张文龙 2500 元/月"
"anjuke","上海","北蔡","一室","2500-3000","2500","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急","1室1厅","38","中层(共9层)","陈春路72号商业","浦东-北蔡","陈春路72号","","https://sh.zu.anjuke.com/fangyuan/4636256587357191","https://sh.zu.anjuke.com/fangyuan/pudong-q-beicai/x1-fx1-zj105-mt1/","13号线，陈春路站，精致装修，独立厨卫，配置齐全，钥匙房，急 安选 1室1厅|38平米|中层(共9层) 陈春路72号商业   浦东-北蔡 -陈春路72号 整租 朝南 有电梯 13/18号线  赵富阳 2500 元/月"
"anjuke","上海","北蔡","一室","2500-3000","2500","国企保障租房！御桥18 00 租期不限 民用水电 首月0元","1室1厅","55","高层(共6层)","沪南路2500号楼","浦东-北蔡","沪南路2500号","","https://sh.zu.anjuke.com/fangyuan/4585333180439552","https://sh.zu.anjuke.com/fangyuan/pudong-q-beicai/x1-fx1-zj105-mt1/"," 国企保障租房！御桥18 00 租期不限 民用水电 首月0元 安选 1室1厅|55平米|高层(共6层) 沪南路2500号楼   浦东-北蔡 -沪南路2500号 整租 朝南 有电梯 11/18号线  陈帮庆 2500 元/月"
"anjuke","上海","北蔡","一室","2500-3000","2500","御桥站 整租精装修 近商圈 朝南采光好 可办居住证 拎包入住","1室1厅","38","中层(共8层)","沪南路2500号楼","浦东-北蔡","沪南路2500号","","https://sh.zu.anjuke.com/fangyuan/4419819245118476","https://sh.zu.anjuke.com/fangyuan/pudong-q-beicai/x1-fx1-zj105-mt1/"," 御桥站 整租精装修 近商圈 朝南采光好 可办居住证 拎包入住 安选 1室1厅|38平米|中层(共8层) 沪南路2500号楼   浦东-北蔡 -沪南路2500号 整租 朝南 有电梯 11/18号线  姚露露 2500 元/月"
"anjuke","上海","北蔡","一室","2500-3000","2500","1318号线，莲溪路地铁站，精致装修，天燃气厨卫，钥匙房","1室1厅","38","高层(共16层)","莲振路269号园区","浦东-北蔡","莲振路269号","","https://sh.zu.anjuke.com/fangyuan/4588037761508365","https://sh.zu.anjuke.com/fangyuan/pudong-q-beicai/x1-fx1-zj105-mt1/","1318号线，莲溪路地铁站，精致装修，天燃气厨卫，钥匙房 安选 1室1厅|38平米|高层(共16层) 莲振路269号园区   浦东-北蔡 -莲振路269号 整租 朝南 有电梯 11/13/16/18号线  吴金星 2500 元/月"
