supplement_area,platform,source_area,rent,title,layout,area_m2,floor,community,district_business,address,tags,residential_priority,local_score,source_url,source_filter_url,coverage_note,raw_evidence
曹路,anjuke,曹路,3200,近地铁 广场旁 近学校 两房一厅 采光好 南北通透 有钥匙！,2室1厅,84.5,高层(共6层),银丰苑,浦东-曹路,银峰路549弄1-171号,朝南 9号线,normal,108,https://sh.zu.anjuke.com/fangyuan/4595623012670468,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,近地铁 广场旁 近学校 两房一厅 采光好 南北通透 有钥匙！ 安选 2室1厅|84.5平米|高层(共6层) 银丰苑   浦东-曹路 -银峰路549弄1-171号 整租 朝南 9号线  占欣瑶 3200 元/月
曹路,anjuke,曹路,3300,地铁1公里，燃气做饭燃气热水两室，方便停车，随时看房入住,2室1厅,79.8,中层(共18层),金海华城华康佳苑,浦东-曹路,银峰路676弄,朝南 有电梯 9号线,normal,108,https://sh.zu.anjuke.com/fangyuan/4585721263074313,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,地铁1公里，燃气做饭燃气热水两室，方便停车，随时看房入住 安选 2室1厅|79.8平米|中层(共18层) 金海华城华康佳苑   浦东-曹路 -银峰路676弄 整租 朝南 有电梯 9号线  余金豪 3300 元/月
曹路,anjuke,曹路,3300,地铁1公里，燃气做饭燃气热水两室，方便停车，随时看房入住,2室1厅,79.6,中层(共18层),金海华城华康佳苑,浦东-曹路,银峰路676弄,朝南 有电梯 9号线,normal,108,https://sh.zu.anjuke.com/fangyuan/4605185374874631,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,地铁1公里，燃气做饭燃气热水两室，方便停车，随时看房入住 安选 2室1厅|79.6平米|中层(共18层) 金海华城华康佳苑   浦东-曹路 -银峰路676弄 整租 朝南 有电梯 9号线  余金豪 3300 元/月
曹路,anjuke,曹路,3500,免佣 金钻苑毛坯大两房全配 高楼层 步梯房 采光好 地铁口,2室1厅,126.9,高层(共6层) 7日内实拍验真,"7日内实拍验真 金钻苑(南区398弄,359弄)",浦东-曹路,"海松路398弄,海顺路359弄",朝南 有电梯 9号线,normal,108,https://sh.zu.anjuke.com/fangyuan/4643547041341447,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,"免佣 金钻苑毛坯大两房全配 高楼层 步梯房 采光好 地铁口 安选 2室1厅|126.9平米|高层(共6层) 7日内实拍验真 金钻苑(南区398弄,359弄)   浦东-曹路 -海松路398弄,海顺路359弄 整租 朝南 有电梯 9号线  温良 3500 元/月"
曹路,anjuke,曹路,3500,近九号地铁站 近商圈 阳光充足 南北通透 舒适宜居 拎包入住,2室1厅,126.9,高层(共6层),"金钻苑(南区398弄,359弄)",浦东-曹路,"海松路398弄,海顺路359弄",朝南 9号线,normal,108,https://sh.zu.anjuke.com/fangyuan/4643808280158212,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx2-zj106-mt1/,from_existing_export; needs_geocode_and_staleness_check,"近九号地铁站 近商圈 阳光充足 南北通透 舒适宜居 拎包入住 安选 2室1厅|126.9平米|高层(共6层) 金钻苑(南区398弄,359弄)   浦东-曹路 -海松路398弄,海顺路359弄 整租 朝南 9号线  杨楠 3500 元/月"
曹路,anjuke,曹路,2500,顾唐路地铁地铁600米，独门独户带露台，燃气做饭热水，带沐浴,1室1厅,45,共3层,宝龙公馆,浦东-曹路,民民路380弄,朝南 9/12号线,normal,103,https://sh.zu.anjuke.com/fangyuan/4562848773137415,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx1-zj105-mt1/,from_existing_export; needs_geocode_and_staleness_check,顾唐路地铁地铁600米，独门独户带露台，燃气做饭热水，带沐浴 安选 1室1厅|45平米|共3层 宝龙公馆   浦东-曹路 -民民路380弄 整租 朝南 9/12号线  余金豪 2500 元/月
曹路,anjuke,曹路,2500,川沙路1215号小区 1室1厅1卫,1室1厅,40,中层(共10层),川沙路1215号小区,浦东-曹路,川沙路1215号,朝南 有电梯 9号线,normal,103,https://sh.zu.anjuke.com/fangyuan/3767113434193929,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx1-zj105-mt1/,from_existing_export; needs_geocode_and_staleness_check,川沙路1215号小区 1室1厅1卫 安选 1室1厅|40平米|中层(共10层) 川沙路1215号小区   浦东-曹路 -川沙路1215号 整租 朝南 有电梯 9号线 2500 元/月
曹路、金桥/浦兴,anjuke,曹路,2800,9号线金桥附近整租复试 花园一居室 精装全配 可月付,1室1厅,45,共3层,民雷路928号小区,浦东-曹路,民雷路928号,朝南 有电梯 9号线,normal,103,https://sh.zu.anjuke.com/fangyuan/4615686030334978,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx1-zj105-mt1/,from_existing_export; needs_geocode_and_staleness_check, 9号线金桥附近整租复试 花园一居室 精装全配 可月付 安选 1室1厅|45平米|共3层 民雷路928号小区   浦东-曹路 -民雷路928号 整租 朝南 有电梯 9号线  庞亚强 2800 元/月
曹路,anjuke,曹路,3000,近地铁 广场旁 近学校 居家一房 采光好 办证好停车 随时看,1室1厅,55,低层(共6层),丰怡苑,浦东-曹路,龚华路50弄1-93号,朝南 9号线,normal,103,https://sh.zu.anjuke.com/fangyuan/4605602052826116,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx1-zj105-mt1/,from_existing_export; needs_geocode_and_staleness_check,近地铁 广场旁 近学校 居家一房 采光好 办证好停车 随时看 安选 1室1厅|55平米|低层(共6层) 丰怡苑   浦东-曹路 -龚华路50弄1-93号 整租 朝南 9号线  占欣瑶 3000 元/月
曹路,anjuke,曹路,3000,近龚路中学 近溪平路幼儿园 民用水电 简单装修 随时看房,1室1厅,52.3,高层(共6层),丰怡苑,浦东-曹路,龚华路50弄1-93号,朝南 9号线,normal,103,https://sh.zu.anjuke.com/fangyuan/4609926784476169,https://sh.zu.anjuke.com/fangyuan/pudong-q-caolu/x1-fx1-zj105-mt1/,from_existing_export; needs_geocode_and_staleness_check,近龚路中学 近溪平路幼儿园 民用水电 简单装修 随时看房 安选 1室1厅|52.3平米|高层(共6层) 丰怡苑   浦东-曹路 -龚华路50弄1-93号 整租 朝南 9号线  赵雷草 3000 元/月
