"community","kind","label","name","longitude","latitude","distance_m","address","source"
"欧风家园南区","metro","地","沈梅路(地铁站)","121.580589","31.091115","843","18号线","amap_place_text"
"欧风家园南区","mall","商","浦商邻里荟-瑞园店","121.589825","31.096025","209","瑞建路与周东南路交叉口西60米","amap_place_around"
"欧风家园南区","market","菜","瑞园菜场(悦加天天购物中心店)","121.589754","31.096122","205","瑞阳路331号悦加天天购物中心1层","amap_place_around"
"京浦小区82支弄","metro","地","御桥(地铁站)","121.570914","31.158131","696","11号线;18号线","amap_place_text"
"京浦小区82支弄","mall","商","复地活力城","121.564732","31.158316","666","沪南路2229号","amap_place_around"
"京浦小区82支弄","market","菜","乐天鲜蔬(百舸馨苑店)","121.564984","31.151051","284","康花路9号","amap_place_around"
"莲溪六村","metro","地","芳芯路(地铁站)","121.559226","31.191158","438","18号线","amap_place_text"
"莲溪六村","mall","商","北蔡休闲广场","121.556013","31.183807","487","北中路187弄15号","amap_place_around"
"莲溪六村","market","菜","聚鲜汇特价生鲜(莲园路)","121.559223","31.185927","144","莲园路545-549号(北中路地铁站1号口步行420米)","amap_place_around"
"蓝城小区","metro","地","博兴路(地铁站)","121.586689","31.263520","562","6号线","amap_place_text"
"蓝城小区","mall","商","沪东百货","121.584366","31.264316","386","博兴路500、580号(博兴路地铁站2号口步行390米)","amap_place_around"
"蓝城小区","market","菜","上海成真农贸(沪东百货店)","121.584025","31.264375","363","柳埠路227号(博兴路地铁站2号口步行400米)","amap_place_around"
"园西小区","metro","地","川沙(地铁站)","121.698210","31.186741","370","2号线","amap_place_text"
"园西小区","mall","商","申城皮鞋商场","121.701102","31.190184","398","南桥路451号","amap_place_around"
"园西小区","market","菜","园西菜篮子·生鲜超市","121.695970","31.190534","117","妙城公寓东区东南1门西90米","amap_place_around"
"桃园新村(川沙)","metro","地","川沙(地铁站)","121.698210","31.186741","312","2号线","amap_place_text"
"桃园新村(川沙)","mall","商","申城皮鞋商场","121.701102","31.190184","191","南桥路451号","amap_place_around"
"桃园新村(川沙)","market","菜","鲜品汇生鲜超市(川环南路店)","121.701944","31.187850","131","川沙镇川环南路580号(川沙地铁站1号口步行310米)","amap_place_around"
"绿地御桥苑","metro","地","御桥(地铁站)","121.570914","31.158131","541","11号线;18号线","amap_place_text"
"绿地御桥苑","mall","商","复地活力城","121.564732","31.158316","547","沪南路2229号","amap_place_around"
"绿地御桥苑","market","菜","逸桥生鲜(民乐苑御青路228弄店)","121.568185","31.157797","412","万科·海上传奇西南门东60米","amap_place_around"
"妙栏小区","metro","地","川沙(地铁站)","121.698210","31.186741","866","2号线","amap_place_text"
"妙栏小区","mall","商","恒越生活广场","121.693724","31.183032","504","妙境路1087号","amap_place_around"
"妙栏小区","market","菜","小菜店真实惠","121.689229","31.185500","6","妙栏小区妙栏路265弄东南门旁","amap_place_around"
"博三小区","metro","地","博兴路(地铁站)","121.586689","31.263520","498","6号线","amap_place_text"
"博三小区","mall","商","沪东百货","121.584366","31.264316","260","博兴路500、580号(博兴路地铁站2号口步行390米)","amap_place_around"
"博三小区","market","菜","海洋生鲜超市(新沪东公寓店)","121.583740","31.265046","185","沪东新村街道泸东街道博兴路490号海洋生鲜超市","amap_place_around"
"连波路66弄","metro","地","芳华路(地铁站)","121.550115","31.193110","242","7号线","amap_place_text"
"连波路66弄","mall","商","培花商场","121.558427","31.193952","611","白杨路芳草路377号(芳芯路地铁站1号口步行280米)","amap_place_around"
"连波路66弄","market","菜","清美生鲜(龙汇路店)","121.549408","31.198471","504","龙汇路55弄1-12号古北·御庭","amap_place_around"
"鹏海西区","metro","地","陈春路(地铁站)","121.558194","31.175095","394","13号线","amap_place_text"
"鹏海西区","mall","商","唐人幸福里","121.554569","31.173149","760","陈春路109号(陈春路地铁站2号口步行430米)","amap_place_around"
"鹏海西区","market","菜","梓默生鲜(莲杨苑店)","121.562013","31.176029","140","北蔡镇莲溪路800弄29号一层","amap_place_around"
"展想悦廷","metro","地","广兰路(地铁站)","121.621072","31.211050","507","(在建)21号线;2号线","amap_place_text"
"展想悦廷","mall","商","鼎盛商业广场","121.626834","31.209993","65","张江镇祖冲之路2288弄3号楼114室","amap_place_around"
"展想悦廷","market","菜","叮咚买菜(广兰路店)","121.620083","31.205025","845","广兰路与紫薇路交叉口南100米","amap_place_around"
"桃园新城中虹佳园东区","metro","地","沈梅路(地铁站)","121.580589","31.091115","644","18号线","amap_place_text"
"桃园新城中虹佳园东区","mall","商","浦商邻里荟-瑞园店","121.589825","31.096025","413","瑞建路与周东南路交叉口西60米","amap_place_around"
"桃园新城中虹佳园东区","market","菜","瑞园菜场(悦加天天购物中心店)","121.589754","31.096122","410","瑞阳路331号悦加天天购物中心1层","amap_place_around"
