match_status,rank,action,score,platform,title,rent,layout,area_m2,business_area,community,address,distance_km_to_work,nearest_metro,metro_distance_m,nearest_mall,mall_distance_m,subway,tags,risks,url
已验证3km配套,2,contact,199,安居客,金科路旁 独立一室一厅 近软件园 药谷等 生活便利 拎包入住,2800,1室1厅,118,张江,古桐四村,高斯路1122弄,2.15,金科路(地铁站),1393,张江商业广场,416,2号线,2800元; 1室1厅; 118㎡; 南北; 2号线,geocode_approx,https://sh.zu.anjuke.com/fangyuan/4606745891658753
已验证3km配套,5,contact,183,安居客,张江租房近双子塔，独立厨卫押一付一,2100,1室1厅,35,张江,横沔江路86号楼,横沔江路86号,2.55,张江路(地铁站),996,浦商邻里荟(孙桥店),133,13号线,2100元; 1室1厅; 35㎡; 南北; 13号线,,https://sh.zu.anjuke.com/fangyuan/4626699735919627
已验证3km配套,31,contact,173,安居客,急租管家 | 民用水电 | 带阳台 | 欢迎来电,3000,1室1厅,60,北蔡,沪南路2500号楼,沪南路2500号,5.05,御桥(地铁站),870,复地活力城,680,11/18号线,3000元; 1室1厅; 60㎡; 朝南; 11/18号线,,https://sh.zu.anjuke.com/fangyuan/4640950734216198
已验证3km配套,39,contact,170,安居客,莲文苑 1室1厅1卫,2650,1室1厅,30,北蔡,莲文苑,莲园路77弄,5.79,锦绣路(地铁站),561,叁宸里生活中心,778,7/13/18号线,2650元; 1室1厅; 30㎡; 朝南; 7/13/18号线,,https://sh.zu.anjuke.com/gfangyuan/4600580585708556
已验证3km配套,40,contact,169,安居客,申城佳苑一期A块 1室1厅1卫,4000,1室1厅,40,张江,申城佳苑一期A块,孙环路177弄,2.15,张江路(地铁站),810,浦商邻里荟(孙桥店),796,13号线,4000元; 1室1厅; 40㎡; 朝南; 13号线,at_budget_max geocode_approx,https://sh.zu.anjuke.com/gfangyuan/4644023032306695
已验证3km配套,45,watch,168,安居客,御桥 复地活力城帮转租32平一室一厅,2400,1室1厅,32,北蔡,沪南路2500号楼,沪南路2500号,5.05,御桥(地铁站),870,复地活力城,680,11/18号线,2400元; 1室1厅; 32㎡; 朝南; 11/18号线,,https://sh.zu.anjuke.com/fangyuan/4635078292430852
已验证3km配套,46,watch,168,安居客,沪南路2500号楼 家电齐全 阳光充足 1室1厅1卫,2700,1室1厅,35,北蔡,沪南路2500号楼,沪南路2500号,5.05,御桥(地铁站),870,复地活力城,680,11/18号线,2700元; 1室1厅; 35㎡; 朝南; 11/18号线,,https://sh.zu.anjuke.com/fangyuan/4643577281273867
已验证3km配套,47,watch,168,安居客,御桥近地铁11号线18号线一室一厅一卫一厨38平米全明户型,2800,1室1厅,38,北蔡,沪南路2500号楼,沪南路2500号,5.05,御桥(地铁站),870,复地活力城,680,11/18号线,2800元; 1室1厅; 38㎡; 朝南; 11/18号线,,https://sh.zu.anjuke.com/fangyuan/4640478004125703
已验证3km配套,98,contact,160,贝壳,整租·京浦小区82支弄 2室1厅 南/北,3900,2室1厅,52.00,御桥,京浦小区82支弄,浦东-御桥-京浦小区82支弄,4.66,御桥(地铁站),696,复地活力城,666,,3900元; 2室1厅; 52.00㎡; ,,https://sh.zu.ke.com/zufang/SH2179541143702732800.html
已验证3km配套,103,contact,155,贝壳,整租·京浦小区82支弄 2室1厅 南/北,4000,2室1厅,52.49,御桥,京浦小区82支弄,浦东-御桥-京浦小区82支弄,4.66,御桥(地铁站),696,复地活力城,666,,4000元; 2室1厅; 52.49㎡; ,at_budget_max,https://sh.zu.ke.com/zufang/SH2177431171216965632.html
已验证3km配套,105,watch,153,贝壳,整租·欧风家园南区 1室1厅 南,3500,1室1厅,56.00,周浦,欧风家园南区,浦东-周浦-欧风家园南区,9.62,沈梅路(地铁站),843,浦商邻里荟-瑞园店,209,,3500元; 1室1厅; 56.00㎡; 朝南,near_10km_limit,https://sh.zu.ke.com/zufang/SH2181664263360217088.html
基础条件符合，配套待核验,1,contact,211,安居客,川杨新苑(二期) 2室1厅1卫,3000,2室1厅,70,张江,川杨新苑(二期),"顺和路126弄,顺和路236弄,顺和路60弄",2.30,,,浦商邻里荟(孙桥店),681,13号线,3000元; 2室1厅; 70㎡; 朝南; 13号线,,https://sh.zu.anjuke.com/gfangyuan/3830005373100040
基础条件符合，配套待核验,3,contact,191,安居客,11号线康新公路地铁站附近有漕河泾商务绿洲吉祥航空新月湾总部,3000,1室1厅,112.5,康桥,宁怡苑,秀沿路2875弄1-53号,4.69,,,,,11号线/机场联络线,3000元; 1室1厅; 112.5㎡; 朝南; 11号线/机场联络线,,https://sh.zu.anjuke.com/fangyuan/4629550252682247
基础条件符合，配套待核验,6,contact,183,安居客,芳华路地铁口 精装修民用水电押一付一 拎包入住,3000,1室1厅,50,花木,芳华路63号小区,芳华路63号,5.42,,,,,2/7/16/18号线/磁悬浮,3000元; 1室1厅; 50㎡; 朝南; 2/7/16/18号线/磁悬浮,,https://sh.zu.anjuke.com/fangyuan/4636507042290695
基础条件符合，配套待核验,7,contact,181,安居客,川杨新苑三期2室一厅一楼带院子,4000,2室1厅,57.2,张江,川杨新苑(三期),中科路2500弄,2.81,,,浦商邻里荟(孙桥店),955,13号线,4000元; 2室1厅; 57.2㎡; 南北; 13号线,at_budget_max,https://sh.zu.anjuke.com/fangyuan/4569840130989058
基础条件符合，配套待核验,8,contact,181,安居客,整租一室一厅带院子，可办居住证，押一付一，全落地窗！,3000,1室1厅,45,张江,紫薇路372号楼,紫薇路372号,2.97,,,景宏商业广场,720,2号线,3000元; 1室1厅; 45㎡; 朝南; 2号线,,https://sh.zu.anjuke.com/fangyuan/4603902265549834
基础条件符合，配套待核验,9,contact,181,安居客,大平层带阳台 与大学生为伴 周边生活便利 押一付一没中介费,2500,1室1厅,39,康桥,川周公路2788弄小区,川周公路2788弄,4.36,,,,,,2500元; 1室1厅; 39㎡; 朝南; ,,https://sh.zu.anjuke.com/fangyuan/4639820402958336
基础条件符合，配套待核验,10,contact,181,安居客,推窗见绿 帮张江转租ins风阳台小居,2400,1室1厅,35,康桥,川周公路2788弄小区,川周公路2788弄,4.36,,,,,,2400元; 1室1厅; 35㎡; 朝南; ,,https://sh.zu.anjuke.com/fangyuan/4641978409165829
基础条件符合，配套待核验,12,contact,178,安居客,近地铁 交通便利 精装整租 押一付一 家电齐全 拎包入住,2800,1室1厅,39,花木,芳华路63号小区,芳华路63号,5.42,,,,,2/7/16/18号线/磁悬浮,2800元; 1室1厅; 39㎡; 朝南; 2/7/16/18号线/磁悬浮,,https://sh.zu.anjuke.com/fangyuan/4636640108060675
基础条件符合，配套待核验,13,contact,178,安居客,冲鸭！近地铁 采光好 民用水电 免一个月租金 押一付一,2800,1室1厅,40,花木,芳华路63号小区,芳华路63号,5.42,,,,,2/7/16/18号线/磁悬浮,2800元; 1室1厅; 40㎡; 朝南; 2/7/16/18号线/磁悬浮,,https://sh.zu.anjuke.com/fangyuan/4637047447413774
基础条件符合，配套待核验,14,contact,176,安居客,张江租房帮转租32平一室一厅带阳台,2300,1室1厅,32,康桥,川周公路2788弄小区,川周公路2788弄,4.36,,,,,,2300元; 1室1厅; 32㎡; 朝南; ,,https://sh.zu.anjuke.com/fangyuan/4636637714015242
