score,action,platform,source_id,title,rent,deposit_payment,layout,area_m2,district,business_area,community,address,subway,commute,longitude,latitude,geocode_query,geocode_precision,geocode_level,floor,elevator,orientation,renovation,move_in_date,lease_term,landlord_type,tags,risks,url,raw_text
141,contact,贝壳,SH2140311500101779456,整租·欧风家园南区 2室1厅 南,3000,,2室1厅,80.26,浦东,周浦,欧风家园南区,瑞意路399弄,沈梅路地铁站约843m,距张江昆仑芯约9.62km; 生活配套强,121.587666,31.095666,上海浦东 欧风家园南区,existing,POI,,,南,,未知,未知,unknown,"3000内; 居民小区; 两室一厅; 菜场约205m; 商场约209m","near_10km_limit","https://sh.zu.ke.com/zufang/SH2140311500101779456.html","官方核验 近地铁 链家 3000元/月"
139,contact,贝壳,SH2179541143702732800,整租·京浦小区82支弄 2室1厅 南/北,3900,,2室1厅,52.00,浦东,御桥,京浦小区82支弄,沪南路2441弄82支弄,御桥地铁站约696m,距张江昆仑芯约4.84km; 北蔡御桥方向,121.567239,31.152726,上海浦东 京浦小区82支弄,existing,POI,,,南/北,,未知,未知,unknown,"居民小区; 两室一厅; 菜场约284m; 商场约666m",,"https://sh.zu.ke.com/zufang/SH2179541143702732800.html","官方核验 新上 近地铁 链家 3900元/月"
139,contact,贝壳,SH2137435393031667712,整租·莲溪六村 2室1厅 南,4500,,2室1厅,60.00,浦东,北蔡,莲溪六村,莲溪路126弄,芳芯路地铁站约438m,距张江昆仑芯约4.53km; 生活气息强,121.559222,31.187221,上海浦东 莲溪六村,existing,POI,,,南,,未知,未知,unknown,"居民小区; 两室一厅; 菜场约144m; 商场约487m","at_budget_max","https://sh.zu.ke.com/zufang/SH2137435393031667712.html","官方核验 近地铁 链家 4500元/月"
137,contact,贝壳,SH1771128018257838080,整租·蓝城小区 2室1厅 南,3600,,2室1厅,44.00,浦东,金桥,蓝城小区,柳埠路142号,博兴路地铁站约562m,距张江昆仑芯约9.40km; 金桥生活配套成熟,121.580905,31.262492,上海浦东 蓝城小区,existing,POI,,,南,,未知,未知,unknown,"居民小区; 两室一厅; 菜场约363m; 商场约386m","matched_place柳埠小区; near_10km_limit; small_area_for_2br","https://sh.zu.ke.com/zufang/SH1771128018257838080.html","自营 新上 近地铁 押一付一 随时看房 3600元/月"
137,contact,贝壳,SH2175149859932209152,整租·园西小区 2室1厅 南,3600,,2室1厅,52.18,浦东,川沙,园西小区,城南路497弄,川沙地铁站约370m,距张江昆仑芯约8.69km; 川沙老社区生活便利,121.696932,31.189880,上海浦东 园西小区,existing,POI,,,南,,未知,未知,unknown,"居民小区; 两室一厅; 菜场约117m; 商场约398m",,"https://sh.zu.ke.com/zufang/SH2175149859932209152.html","官方核验 近地铁 链家 3600元/月"
137,contact,贝壳,SH2002323363707486208,整租·桃园新村(川沙) 2室1厅 南,3990,,2室1厅,66.00,浦东,川沙,桃园新村(川沙),南桥路459弄,川沙地铁站约312m,距张江昆仑芯约9.04km; 川沙老社区生活便利,121.700778,31.188484,上海浦东 桃园新村(川沙),existing,POI,,,南,,未知,未知,unknown,"居民小区; 两室一厅; 菜场约131m; 商场约191m",,"https://sh.zu.ke.com/zufang/SH2002323363707486208.html","自营 近地铁 押一付一 随时看房 3990元/月"
137,watch,贝壳,SH2105221739213488128,整租·绿地御桥苑 1室1厅 南/北,4200,,1室1厅,49.04,浦东,御桥,绿地御桥苑,御山路390弄,御桥地铁站约541m,距张江昆仑芯约4.71km; 配套均衡,121.567716,31.154111,上海浦东 绿地御桥苑,existing,POI,,,南/北,精装,未知,未知,unknown,"居民小区; 一室一厅; 菜场约412m; 商场约547m","near_budget_max","https://sh.zu.ke.com/zufang/SH2105221739213488128.html","官方核验 近地铁 精装 随时看房 4200元/月"
133,contact,贝壳,SH2045079181988986880,整租·妙栏小区 2室1厅 南/北,3675,,2室1厅,58.23,浦东,川沙,妙栏小区,妙栏路353弄/401弄,川沙地铁站约866m,距张江昆仑芯约7.91km; 菜场极近,121.689238,31.185441,上海浦东 妙栏小区,existing,POI,,,南/北,,未知,未知,unknown,"居民小区; 两室一厅; 菜场约6m; 商场约504m","subway_near_1km","https://sh.zu.ke.com/zufang/SH2045079181988986880.html","自营 近地铁 押一付一 随时看房 3675元/月"
133,watch,贝壳,SH2047635765592064000,整租·博三小区 2室1厅 南,4410,,2室1厅,62.15,浦东,金桥,博三小区,博兴路462弄,博兴路地铁站约498m,距张江昆仑芯约9.67km; 金桥成熟社区,121.581797,31.265129,上海浦东 博三小区,existing,POI,,,南,,未知,未知,unknown,"居民小区; 两室一厅; 菜场约185m; 商场约260m","near_10km_limit; near_budget_max","https://sh.zu.ke.com/zufang/SH2047635765592064000.html","自营 新上 近地铁 押一付一 随时看房 4410元/月"
131,watch,贝壳,SH2166835237076598784,整租·园西小区 1室1厅 南,3200,,1室1厅,40.00,浦东,川沙,园西小区,城南路497弄,川沙地铁站约370m,距张江昆仑芯约8.69km; 川沙生活便利,121.696932,31.189880,上海浦东 园西小区,existing,POI,,,南,,未知,未知,unknown,"居民小区; 一室一厅; 菜场约117m; 商场约398m",,"https://sh.zu.ke.com/zufang/SH2166835237076598784.html","官方核验 近地铁 随时看房 链家 3200元/月"
131,watch,贝壳,SH2172620488981872640,整租·博三小区 1室1厅 南,3300,,1室1厅,40.18,浦东,金桥,博三小区,博兴路462弄,博兴路地铁站约498m,距张江昆仑芯约9.67km; 金桥成熟社区,121.581797,31.265129,上海浦东 博三小区,existing,POI,,,南,,未知,未知,unknown,"居民小区; 一室一厅; 菜场约185m; 商场约260m","near_10km_limit","https://sh.zu.ke.com/zufang/SH2172620488981872640.html","官方核验 近地铁 链家 3300元/月"
131,watch,贝壳,SH2128871487036194816,整租·连波路66弄 2室1厅 南/北,4305,,2室1厅,67.78,浦东,北蔡,连波路66弄,芳华路66弄,芳华路地铁站约242m,距张江昆仑芯约5.38km; 离地铁近,121.552038,31.194537,上海浦东 连波路66弄,existing,POI,,,南/北,精装,未知,未知,unknown,"居民小区; 两室一厅; 菜场约504m; 商场约611m","near_budget_max","https://sh.zu.ke.com/zufang/SH2128871487036194816.html","自营 近地铁 精装 押一付一 随时看房 4305元/月"
131,watch,贝壳,SH2074735272334983168,整租·鹏海西区 2室1厅 南,4410,,2室1厅,63.11,浦东,北蔡,鹏海西区,五星路231弄/151弄,陈春路地铁站约394m,距张江昆仑芯约4.23km; 离工作地近,121.562319,31.174792,上海浦东 鹏海西区,existing,POI,,,南,,未知,未知,unknown,"居民小区; 两室一厅; 菜场约140m; 商场约760m","near_budget_max","https://sh.zu.ke.com/zufang/SH2074735272334983168.html","自营 近地铁 押一付一 随时看房 4410元/月"
129,watch,贝壳,SH2168949682699501568,整租·展想悦廷 1室1厅 西,4200,,1室1厅,52.82,浦东,张江,展想悦廷,祖冲之路2288弄,广兰路地铁站约507m,距张江昆仑芯约3.81km; 最近但楼宇属性更强,121.626347,31.210408,上海浦东 展想悦廷,existing,POI,,,西,精装,未知,未知,unknown,"离工作地近; 一室一厅; 菜场约845m; 商场约65m","楼宇/商住; west_orientation; near_budget_max","https://sh.zu.ke.com/zufang/SH2168949682699501568.html","近地铁 精装 随时看房 链家 4200元/月"
127,watch,贝壳,SH2179897399713988608,整租·桃园新城中虹佳园东区 1室1厅 南/北,3200,,1室1厅,53.00,浦东,周浦,桃园新城中虹佳园东区,瑞浦路287弄,沈梅路地铁站约644m,距张江昆仑芯约9.74km; 周浦居民区,121.585681,31.094923,上海浦东 桃园新城中虹佳园东区,existing,POI,,,南/北,,未知,未知,unknown,"居民小区; 一室一厅; 菜场约410m; 商场约413m","near_10km_limit","https://sh.zu.ke.com/zufang/SH2179897399713988608.html","近地铁 链家 3200元/月"
