score,action,platform,source_id,title,rent,deposit_payment,layout,area_m2,district,business_area,community,address,subway,commute,longitude,latitude,geocode_query,geocode_precision,geocode_level,floor,elevator,orientation,renovation,move_in_date,lease_term,landlord_type,tags,risks,url,raw_text
105,contact,贝壳,SH2140311500101779456,整租·欧风家园南区 2室1厅 南,3000,,2室1厅,80.26,浦东,周浦,欧风家园南区,,沈梅路地铁站2号口约721m,距张江昆仑芯约9.62km; 需确认实际通勤路线,121.587666,31.095666,上海市浦东新区欧风家园南区,existing,住宅区,,,南,,未知,未知,unknown,3000内; 两室一厅; 近地铁; 3km内商场,,https://sh.zu.ke.com/zufang/SH2140311500101779456.html,官方核验 近地铁 链家 3000元/月
105,contact,贝壳,SH2177097603655663616,整租·加盟圣蓝 2室1厅 南,3500,,2室1厅,56.75,浦东,周浦,加盟圣蓝苑,,周浦地铁站约959m,距张江昆仑芯约7.50km; 需确认实际通勤路线,121.576405,31.118336,上海市浦东新区加盟圣蓝苑,existing,住宅区,,,南,,未知,未知,unknown,两室一厅; 近地铁; 3km内商场,subway_near_1km,https://sh.zu.ke.com/zufang/SH2177097603655663616.html,官方核验 近地铁 精装 链家 3500元/月
100,contact,贝壳,SH2019060897451868160,整租·万达广场(周浦) 1室1厅 北,2500,,1室1厅,43.00,浦东,周浦,万达广场(周浦),,周浦地铁站出入口约132m,距张江昆仑芯约8.15km; 需确认实际通勤路线,121.569542,31.114507,上海市浦东新区万达广场(周浦),existing,兴趣点,,,北,,未知,未知,unknown,3000内; 一室一厅; 地铁近; 商场近,north_orientation,https://sh.zu.ke.com/zufang/SH2019060897451868160.html,自营 近地铁 押一付一 随时看房 2500元/月
100,watch,贝壳,SH2164969065972498432,整租·万达广场(周浦) 1室1厅 南,3000,,1室1厅,56.00,浦东,周浦,万达广场(周浦),,周浦地铁站出入口约132m,距张江昆仑芯约8.15km; 需确认实际通勤路线,121.569542,31.114507,上海市浦东新区万达广场(周浦),existing,兴趣点,,,南,,未知,未知,unknown,3000内; 一室一厅; 地铁近; 商场近,,https://sh.zu.ke.com/zufang/SH2164969065972498432.html,近地铁 精装 链家 3000元/月
100,watch,贝壳,SH2063967899252424704,整租·南新四村 1室1厅 东南/南,3450,,1室1厅,41.01,浦东,北蔡,南新四村,,下南路地铁站2号口约653m,距张江昆仑芯约5.99km; 需确认实际通勤路线,121.543782,31.173805,上海市浦东新区南新四村,existing,村庄,,,东南/南,精装,未知,未知,unknown,离工作地较近; 一室一厅; 近地铁; 3km内商场,geocode_approx,https://sh.zu.ke.com/zufang/SH2063967899252424704.html,自营 近地铁 精装 押一付一 随时看房 3450元/月
100,watch,贝壳,SH2181325785581748224,整租·金旋小区 1室1厅 南,3600,,1室1厅,37.23,浦东,北蔡,金旋小区,,锦绣路地铁站约646m,距张江昆仑芯约6.84km; 需确认实际通勤路线,121.534434,31.184315,上海市浦东新区金旋小区,existing,住宅区,,,南,精装,未知,未知,unknown,离工作地较近; 一室一厅; 近地铁; 3km内商场,small_area,https://sh.zu.ke.com/zufang/SH2181325785581748224.html,官方核验 业主自荐 新上 近地铁 精装 链家 3600元/月
100,contact,贝壳,SH2168949682699501568,整租·展想悦廷 1室1厅 西,4200,,1室1厅,52.82,浦东,张江,展想悦廷,,广兰路地铁站2号口约386m,距张江昆仑芯约3.78km; 需确认实际通勤路线,121.625953,31.210278,上海市浦东新区展想悦廷,existing,POI,,,西,精装,未知,未知,unknown,离工作地最近; 一室一厅; 近地铁; 3km内商场,west_orientation; near_budget_max,https://sh.zu.ke.com/zufang/SH2168949682699501568.html,近地铁 精装 随时看房 链家 4200元/月
97,watch,贝壳,SH2161011751296958464,整租·星纪元 2室1厅 东/南,4500,,2室1厅,48.00,浦东,唐镇,星纪元,,唐镇地铁站3号口约431m,距张江昆仑芯约5.58km; 需确认实际通勤路线,121.653260,31.210759,上海市浦东新区星纪元,existing,住宅区,,,东/南,精装,未知,未知,unknown,离工作地较近; 两室一厅; 近地铁; 3km内商场,at_budget_max,https://sh.zu.ke.com/zufang/SH2161011751296958464.html,近地铁 精装 双卫生间 链家 4500元/月
95,watch,贝壳,SH1771128018257838080,整租·蓝城小区 2室1厅 南,3600,,2室1厅,44.00,浦东,金桥,蓝城小区,,博兴路地铁站2号口约515m,距张江昆仑芯约9.38km; 需确认实际通勤路线,121.581431,31.262340,上海市浦东新区蓝城小区,existing,住宅区,,,南,,未知,未知,unknown,两室一厅; 近地铁; 3km内商场,near_10km_limit; small_area_for_2br,https://sh.zu.ke.com/zufang/SH1771128018257838080.html,自营 新上 近地铁 押一付一 随时看房 3600元/月
92,watch,贝壳,SH1880141035875598336,整租·绿波城 1室1厅 南,4305,,1室1厅,59.00,浦东,唐镇,绿波城,,唐镇地铁站1号口约933m,距张江昆仑芯约6.40km; 需确认实际通勤路线,121.664642,31.209349,上海市浦东新区绿波城,existing,住宅区,,,南,,未知,未知,unknown,一室一厅; 近地铁; 3km内商场,near_budget_max; subway_near_1km,https://sh.zu.ke.com/zufang/SH1880141035875598336.html,自营 近地铁 押一付一 随时看房 4305元/月
